text,count-occurences-total,count-documents
evidence,8,7
applicability,12,12
offering,4,4
alternate,2,2
victim,2,2
workers,9,8
victims,10,8
enhances,2,2
efficacy,2,2
humans,67,52
necessitates,2,2
onthefly,2,2
multistorey,2,2
buildings,64,41
topology,15,14
evacuation,3,2
meant,14,13
emergency,45,41
networked,8,7
concept,46,43
arise,15,15
combines,9,9
representation,26,25
handsfree,3,2
piece,1,1
help,79,73
disaster,87,77
ui,7,7
interaction,288,148
hci,5,4
avenue,1,1
infancy,4,4
firemen,2,1
hope,4,4
matter,12,12
risks,21,17
scout,2,2
risk,67,55
base,140,97
idea,16,16
reporting,16,14
survivor,6,6
ends,4,4
suggest,22,22
vicon,9,2
tracker,8,5
positional,3,3
equipment,69,57
setup,36,32
storyboard,11,10
demonstrational,2,2
fireman,4,1
place,32,31
puts,3,3
heads,3,3
flames,2,2
alert,3,3
situation,27,24
supplies,18,18
firemans,1,1
straight,28,26
distress,4,4
spends,2,2
stay,14,13
augment,9,8
holograms,2,2
vr,6,3
create,47,40
correspond,9,8
experiences,22,20
mr,13,8
branch,6,5
utilises,2,2
windows,14,12
custom,14,14
built,30,25
clock,2,2
phone,4,4
flash,6,4
apps,1,1
ram,5,5
wifi,25,24
le,18,17
object,165,94
unity,11,6
plugin,2,2
transfer,37,31
translation,9,8
claimed,2,2
frames,30,24
indicators,4,4
unique,36,30
calibration,23,19
wand,3,2
underwent,1,1
transition,15,14
period,37,34
engine,9,8
legacy,7,4
options,12,11
benefit,24,20
maintain,33,32
documentation,10,9
invest,9,9
experience,61,54
workflow,6,6
hereof,1,1
mature,6,6
encounter,4,4
issues,112,99
downside,1,1
inspection,421,214
experts,36,27
version,31,28
criteria,27,19
gerhardt,1,1
powal,1,1
cognitive,29,23
list,26,22
automate,5,5
workload,6,6
meaningful,11,10
aids,3,3
interpretation,12,12
displays,30,21
redundancy,4,4
lowlevel,2,2
chance,3,3
summation,3,3
load,39,33
ways,38,34
absorb,1,1
names,1,1
labels,7,4
recollection,1,1
screen,30,22
prefer,6,5
colours,2,2
graphics,6,6
raw,8,7
driven,4,4
concentrate,1,1
encompass,4,4
formats,1,1
andor,15,15
accommodate,7,5
spite,1,1
tenth,2,2
assessment,62,54
usefulness,7,7
profile,18,16
operators,77,66
viability,3,3
questions,29,23
suspicions,1,1
topics,29,19
qualitative,9,9
interview,20,19
gather,17,15
contribution,30,30
jacob,2,2
wobbrock,4,4
communicate,30,24
tcp,5,5
feed,17,16
visualise,2,1
things,27,23
opencv,13,10
functionalities,3,3
hmds,2,1
communication,306,213
supports,6,6
current,16,16
twopart,1,1
prototype,155,112
feel,16,15
thoughts,2,2
compare,21,21
assessments,7,7
sections,32,27
master,10,9
praise,1,1
covers,14,14
questionnaire,14,12
mind,7,6
alleviate,3,3
safety,164,112
job,5,5
conversation,1,1
interviewees,2,2
wait,11,10
locate,33,32
concurrent,2,2
concerns,23,22
materials,25,22
metals,1,1
carbon,18,17
fiber,8,8
bumping,1,1
debris,6,6
violent,2,2
drafts,2,1
turmoil,2,2
hindrance,2,2
battery,167,88
temperatures,23,22
concern,18,14
lithium,15,9
batteries,56,37
discharge,15,10
temperature,137,68
versus,25,20
prove,13,11
scope,12,12
hose,2,1
travel,59,42
preference,2,2
saw,3,3
distraction,4,3
imagine,7,6
trouble,2,2
rating,2,2
interviews,43,32
eliminates,2,2
hmdside,1,1
gestures,33,23
troublesome,1,1
darkness,2,2
activities,40,33
posses,2,2
relates,9,9
recognise,1,1
acquaintance,1,1
retirement,1,1
disorder,2,2
ptsd,2,2
overload,33,30
met,5,5
opinions,9,9
thing,2,2
doors,10,5
arose,1,1
told,6,6
worry,2,2
stuck,2,2
mining,17,12
shafts,1,1
remain,12,12
whilst,5,4
underfoot,1,1
non,5,5
copenhagen,2,2
management,250,193
agency,17,15
sole,1,1
responsibility,5,5
purposes,25,25
responsibilities,8,8
rise,6,6
delivery,253,132
utmost,2,2
ideas,15,12
sound,22,18
additions,1,1
gasses,3,2
colour,6,6
reasons,16,16
applies,11,11
descriptive,1,1
thorough,3,3
worthwhile,3,2
opportunities,24,22
apis,2,1
experimentation,11,11
headset,8,4
survive,2,2
involve,18,17
augmentation,4,4
resistant,2,2
faceguards,1,1
facemasks,1,1
needs,53,48
fireproof,2,2
retardant,1,1
ceramics,1,1
steel,2,2
restriction,7,6
rotors,28,22
supply,29,26
bank,1,1
combat,9,9
redundant,5,5
insufficient,5,4
voltage,29,22
surge,1,1
protectors,1,1
surges,1,1
attribute,1,1
possess,2,2
animation,1,1
deem,3,3
visualiser,1,1
arrow,1,1
felt,18,15
dangers,3,3
passionate,1,1
impactful,2,2
participants,227,132
respective,14,13
expertise,6,6
branches,1,1
reduction,34,31
effectivity,1,1
proximity,16,15
intend,3,3
brought,6,6
simpler,6,5
hands,7,7
entirety,4,4
cut,3,2
entail,3,3
check,18,17
tables,19,16
chairs,1,1
electronics,26,22
etc,69,65
surfaces,18,17
sonar,2,1
perfect,8,7
adequate,8,8
autonomy,37,36
resistance,4,3
distinguish,6,6
market,70,50
department,1,1
iteration,41,26
masks,8,8
kinds,6,6
headgear,2,1
protection,35,34
platforms,57,44
satisfy,5,5
respects,1,1
inadequate,3,3
floor,4,4
toxic,9,8
fumes,1,1
heat,28,21
wish,4,4
server,44,28
receive,18,13
gesture,36,26
suggestion,2,2
handshake,3,3
complimentary,1,1
droneside,1,1
contributions,18,17
pandemic,1,1
alas,1,1
researchers,74,64
codesign,3,3
sessions,8,7
borrow,1,1
principles,26,25
jill,2,2
gerhardtpowals,2,2
realm,1,1
thereof,2,2
thank,13,9
supervisor,2,2
timothy,3,2
merritt,3,2
supervision,11,10
assistance,10,8
sung,3,3
hitchcock,1,1
multiviewaugmentedrealitywithadrone,1,1
farzam,1,1
farbiz,1,1
yu,18,17
siewwan,1,1
xubo,1,1
yang,47,45
sze,1,1
teo,1,1
cheok,1,1
goh,1,1
dieter,1,1
schmalstieg,1,1
alessandro,4,4
mulloni,1,1
hartmut,1,1
seichter,1,1
jamshidi,1,1
azin,1,1
anzabi,1,1
realitybasedthermaldronesforvictimdetection,1,1
eman,1,1
firefightersaugmentedrealityheadsupdevice,1,1
andrew,1,1
hogue,1,1
bernadette,1,1
ann,8,6
murphy,7,7
weckman,1,1
bill,2,2
seriousgamesandvirtualsimulationfortraininginthefire,1,1
serviceareview,1,1
humancomputer,10,10
rosen,2,2
ivanov,1,1
buss,1,1
vigilanceperformancemodeledasacomplexadaptivesystem,1,1
jeanluc,1,1
dugelay,2,2
ludovic,1,1
tullio,1,1
tanzi,2,2
withinthecontextofnaturaldisasters,1,1
xenophon,1,1
vaxevanoglou,1,1
sandrine,1,1
withdailystressfirefightersinemergencysituations,1,1
tech,28,23
sector,45,30
companies,39,32
cross,6,6
advisors,4,3
company,36,29
agencies,4,4
response,44,38
relief,22,21
ran,6,6
dai,4,4
yue,1,1
zu,1,1
explain,7,7
talk,4,4
hindrances,3,3
symbolise,1,1
helpful,10,10
signal,72,56
statements,11,11
scale,48,43
meaning,21,19
disagree,3,3
agree,5,5
business,34,33
heard,1,1
debilitations,1,1
improvement,32,26
faults,123,78
photovoltaic,215,197
plants,143,95
hwang,7,7
younggon,1,1
haesol,1,1
youngdae,1,1
hyunrok,1,1
cha,2,2
mh,50,49
yg,2,2
hs,4,4
yd,1,1
hr,7,7
appl,58,57
sci,94,76
mdpi,15,15
stays,9,9
neu,1,1
clai,1,1
institutio,1,1
censee,1,1
basel,9,9
tribution,1,1
cc,18,18
smart,44,40
mobility,25,25
cheomdangwagiro,1,1
beongil,1,1
bukgu,3,1
gwangju,3,1
mhh,4,2
ygk,3,2
hsl,6,3
youngbongro,1,1
daejeon,1,1
topinfra,1,1
chuamro,1,1
ydkimtopinfracokr,1,1
hrchakitechrekr,1,1
tel,2,2
attention,33,26
energy,379,182
semiconductor,6,4
manufacturing,92,60
analyze,27,27
defects,88,59
panels,226,121
productivity,8,8
stations,81,62
modules,162,116
panel,232,114
replacement,16,12
malfunction,6,6
solar,151,107
aim,29,27
occur,27,27
hotspot,34,29
breakage,50,26
connector,35,29
busbar,20,17
cell,75,54
diode,26,23
station,127,94
keywords,22,21
defect,31,28
plant,159,111
conversion,13,8
friendliness,1,1
rooftops,4,4
forests,1,1
proportion,8,8
waste,4,4
tons,2,1
year,17,14
disposal,2,2
preparation,9,9
endoflife,1,1
lifespan,1,1
semipermanent,1,1
maintenance,52,46
costs,40,36
countries,31,29
degradation,14,11
characteristics,86,77
discoloration,7,6
buffer,9,7
ethylenevinyl,1,1
acetate,1,1
damage,45,38
diagnosis,29,28
status,19,18
terminals,10,6
zigbee,2,2
drops,5,5
determination,18,18
inaccuracies,1,1
identification,43,40
detects,17,13
malfunctions,5,5
accelerate,3,3
chamber,12,4
life,36,29
simulate,18,18
irradiation,7,7
intensity,27,21
humidity,7,7
vibration,8,6
conduct,22,22
taguchi,3,3
checked,6,5
smallscale,14,12
faulty,34,23
operation,123,95
facilities,27,22
contribute,13,13
photons,2,2
sunlight,7,7
pn,14,9
junction,13,13
electrons,1,1
accumulate,3,3
ntype,1,1
silicon,14,11
charge,14,11
opposite,8,8
electron,26,25
cells,111,65
paneltype,1,1
compound,3,3
commercialization,1,1
firstgeneration,1,1
crystalline,8,6
secondgeneration,2,2
copper,1,1
indium,1,1
gallium,1,1
selenide,1,1
cigs,3,2
cadmium,1,1
telluride,1,1
cdte,2,1
thirdgeneration,1,1
nextgeneration,4,4
quantum,1,1
dots,3,3
plasmons,1,1
thinfilm,2,2
mobile,142,105
perovskite,1,1
alternatives,15,12
powerloss,2,2
deterioration,9,8
mismatch,14,12
dirt,8,8
occurs,10,10
altitude,146,118
losses,30,19
inverters,8,6
strings,10,8
arrays,17,16
obstruction,2,2
leaves,6,6
builtin,8,6
string,9,9
dcdc,2,2
converters,2,2
circuit,3,3
presence,27,25
sun,14,8
sunrise,4,3
sunset,3,3
seasons,3,3
perpendicular,6,6
month,3,3
structures,37,31
consumption,77,57
corrosion,13,9
reactions,5,5
metal,7,6
oxygen,1,1
water,69,48
microscopic,1,1
organisms,2,2
rare,2,2
insignificannot,2,2
dust,15,12
bird,17,15
droppings,4,4
shade,2,2
snow,5,5
hail,4,3
breakages,6,6
mm,16,12
photographs,14,14
interior,12,5
exterior,7,5
lamp,3,2
flux,1,1
lm,13,13
thermohygrostat,1,1
induce,6,6
vibrations,6,3
vibrator,1,1
xenon,4,2
lamps,5,3
wavelength,4,3
irradiate,1,1
kw,5,3
uxl,1,1
shortarc,1,1
electricity,68,26
heats,1,1
acquisition,39,35
basis,44,32
differentiate,4,4
forces,20,16
damages,9,8
reverse,3,3
polarity,1,1
connectors,4,4
poles,3,3
shades,2,2
pollutants,1,1
boxes,22,21
busbars,2,2
wiring,2,2
c,79,71
placement,50,31
spot,11,11
signaltonoise,12,10
mean,54,45
ranks,1,1
steeper,2,2
slope,3,3
diodes,7,6
hotspots,20,15
sporadic,1,1
peer,66,66
lowoutput,3,3
varies,10,9
illustrate,7,7
compares,6,6
values,137,97
priority,25,23
immediate,12,11
figures,19,19
weather,48,33
yields,13,12
phenomenon,13,12
similarities,5,5
aspect,8,8
author,19,19
conceptualization,9,9
curation,4,4
methodology,65,49
ydk,1,1
hrc,2,1
draft,8,8
writingreview,7,7
read,23,23
manuscript,15,14
conflicts,29,20
declare,10,10
conflict,18,15
larbes,1,1
cheikh,1,1
obeidi,1,1
zerguerras,1,1
fuzzy,75,51
logic,9,8
renew,25,25
crossref,353,352
jp,7,7
babu,2,2
ts,11,11
rajasekar,1,1
comprehensive,31,28
sustain,14,14
rev,22,22
yy,8,7
buay,1,1
pmp,1,1
photovoltaics,9,8
technol,62,48
assess,25,25
hybrid,27,21
storage,21,19
durability,4,4
soc,14,14
mech,9,9
madeti,2,2
sr,36,20
singh,12,12
sn,4,4
sol,25,24
qais,1,1
hasanien,1,1
hm,5,5
alghuwainem,1,1
nouh,1,1
coyote,1,1
extraction,18,18
threediode,1,1
figgis,1,1
bw,2,2
naumann,1,1
hagendorf,2,2
bagdahn,1,1
fundamentals,8,8
processes,31,28
cho,7,7
hc,2,2
yj,3,3
gh,2,2
fault,73,72
sw,7,7
jh,8,8
ju,3,3
yc,2,2
song,13,13
hj,5,5
shin,7,7
wg,2,2
choi,13,12
jr,23,20
modulelevel,1,1
yh,3,3
comput,100,75
jy,3,3
ss,4,4
hy,4,4
ryu,1,1
rho,1,1
ds,3,3
acad,6,4
industr,1,1
coop,5,2
bollinger,1,1
diffusion,3,3
mark,12,12
sohani,1,1
sayyaadi,1,1
correlation,19,17
predict,21,20
convers,10,10
manag,16,16
ezzaeri,1,1
fatnassi,1,1
bouharroud,1,1
guardo,1,1
bazgaou,1,1
wifaya,1,1
demarti,1,1
bekkaoui,1,1
poncet,1,1
microclimate,1,1
tomato,1,1
canarian,1,1
greenhouses,1,1
bayrak,1,1
oztop,1,1
hf,8,8
selimefendigil,1,1
fin,1,1
convection,2,2
picault,1,1
raison,1,1
bacha,1,1
aguilera,1,1
casa,1,1
array,16,16
interconnections,3,3
prague,17,13
czech,21,15
aoun,1,1
bailek,1,1
characterize,3,3
gu,5,5
chung,4,4
reconfiguration,4,4
shadow,7,7
inst,12,12
illum,1,1
electr,3,3
install,4,4
eng,61,52
gj,16,16
lehn,1,1
pw,3,3
incremental,5,5
conductance,1,1
iet,31,24
gener,4,4
oliveira,16,14
akv,8,8
aghaei,26,25
ruther,9,8
editor,9,9
rajendra,1,1
licensee,8,8
thermography,58,52
aline,1,1
vidal,1,1
mohammadreza,1,1
ricardo,1,1
civil,24,21
universidade,2,2
florianopolis,2,2
ntnu,2,2
alesund,1,1
mohammadrezaaghaeintnuno,1,1
physics,10,6
amirkabir,1,1
tehran,2,2
iran,2,2
alinekirstenposgradufscbr,1,1
akvdo,7,3
ricardorutherufscbr,1,1
rr,14,10
airt,46,24
costefficient,4,4
technique,63,51
phase,154,81
lifetime,10,8
literature,101,86
dip,67,55
irt,72,39
accuracies,1,1
procedure,36,29
harmonic,2,2
generalization,5,5
largescale,39,39
reliability,46,35
pvs,1,1
mix,4,3
installations,14,13
substrings,2,2
microcracks,2,2
uav,871,500
denio,2,2
publication,29,27
mwp,4,4
publications,17,16
worldwide,9,9
significannot,48,45
journal,5,4
papers,51,35
databases,2,2
xplore,1,1
sciencedirect,2,2
web,20,19
scholar,5,4
inspections,74,56
synonyms,1,1
uavs,716,374
exclude,1,1
theme,5,5
classify,14,14
assesses,1,1
radiation,60,34
spectrum,21,19
wavelengths,1,1
compromise,7,7
product,29,27
availability,30,28
irradiance,3,2
differences,41,39
signature,3,3
signatures,7,6
standard,73,67
iec,4,2
edition,4,3
energies,58,58
broken,18,18
glass,18,18
aircrafts,24,21
remote,155,119
developments,19,19
forest,22,22
agriculture,76,65
sectors,16,16
largearea,10,10
coverage,273,171
imagery,87,71
flexibility,22,22
hostile,12,12
guidelines,25,25
insurance,21,19
carry,47,40
collect,40,33
endurance,37,33
multicopters,12,12
rotary,16,16
blades,30,20
lift,18,16
motors,20,19
tricopters,10,10
quadcopters,26,16
hexacopters,11,11
octocopters,10,10
mission,118,90
decisions,47,29
labor,13,8
combine,15,15
routine,2,2
procedures,26,26
route,33,29
timeefficient,2,2
cracks,19,15
spots,45,34
snail,8,8
trails,10,10
pid,5,5
altitudes,31,31
remediation,4,2
successive,9,9
photos,16,15
videos,38,32
site,44,30
database,34,23
capacity,70,59
wind,113,78
reflection,17,12
reflections,8,6
cloudless,4,4
sunny,10,10
days,18,14
plane,53,35
stakeholders,11,11
connections,14,13
engineering,29,25
metallography,1,1
transform,28,26
elements,59,55
pixels,44,30
machines,11,10
binary,21,16
adjustment,6,4
interpolation,4,4
timeand,2,2
computingefficient,1,1
scaleinvariant,3,3
sift,17,16
anns,2,2
ml,17,11
brain,11,8
processors,4,3
neurons,8,6
calculations,11,10
property,12,10
adjustments,8,7
weights,15,10
bias,4,4
exhibit,4,4
chains,3,3
modifies,2,2
aggregate,7,7
cnns,8,6
categories,36,35
propagation,13,9
layers,35,16
attributes,5,5
volumes,4,4
dimensions,22,21
volume,57,56
requ,1,1
hu,12,11
conne,1,1
fu,3,3
mental,9,6
amples,1,1
des,3,3
neuron,1,1
ass,1,1
cn,1,1
stateof,1,1
substa,1,1
propagatio,1,1
architec,1,1
volum,1,1
espec,1,1
chines,1,1
svms,5,3
regression,4,4
divides,4,4
cla,1,1
planes,11,11
separation,7,7
betw,1,1
highdimensional,2,2
classifier,46,30
rf,18,15
trees,16,14
portions,3,3
classifications,5,5
tree,9,9
nodes,73,41
calculate,36,35
knearest,4,3
neighbors,5,5
kmeans,24,23
clusters,42,23
metrics,33,22
indices,17,12
events,50,36
ac,44,44
matthews,3,3
coefficient,8,5
mcc,3,3
penalize,2,2
dice,2,2
jaccard,2,1
receiver,17,13
auroc,2,2
thresholds,5,5
automatization,2,2
waypoints,9,7
fov,3,2
board,13,13
packages,40,20
lawn,7,4
mower,5,3
guarantee,17,16
topography,2,2
salesman,23,23
boustrophedon,3,3
curves,10,7
luo,15,15
joint,9,9
swarm,150,100
pso,14,13
gimbal,62,34
limitation,21,18
henry,4,4
contours,3,3
moradi,4,4
sizkouhi,6,6
deviates,2,2
closer,19,17
perezgonzalez,3,3
decomposition,10,10
wavefront,2,2
roggi,4,4
xi,10,9
performs,25,24
satellite,27,26
polygon,5,5
mask,60,54
absence,12,11
identifiers,11,9
elsevier,8,8
colors,15,13
glcm,2,2
segnet,3,3
polycnn,1,1
earth,15,13
rcnn,12,12
resunet,2,2
svm,24,23
invariant,7,7
lowrank,1,1
textures,3,3
tilt,8,8
otsus,1,1
uspo,1,1
cart,1,1
menendez,2,2
montanez,2,2
uma,2,2
xie,12,12
tribak,4,4
zaz,6,6
salamanca,2,2
perez,3,3
borders,9,9
carletti,3,3
bommes,5,4
subsequent,20,20
alexnet,1,1
normalization,1,1
ransac,5,5
consensus,18,16
hsv,4,4
template,4,4
canny,20,16
mser,1,1
sobel,5,5
houghpline,1,1
lsd,1,1
geometry,20,20
coercion,1,1
orthomosaic,4,3
panorama,1,1
sight,51,29
perspective,32,32
orthomaps,1,1
park,16,15
zefri,8,7
dronedeploy,1,1
contextcapture,1,1
babasaki,2,2
opendronemap,1,1
grimaccia,21,21
ismail,2,2
tsanakas,10,9
triangulation,7,6
lafkih,2,2
avoids,1,1
lopezfernandez,4,4
creates,9,9
cloud,63,42
costa,8,7
window,9,8
reconstruct,1,1
orthomosaics,2,2
hinders,3,3
cipriani,3,3
discard,4,4
pivem,2,2
qasem,2,2
wen,8,8
firildak,2,2
shadows,11,9
hanafy,2,2
nn,1,1
cleanliness,2,2
mehta,3,3
weakly,1,1
categorize,1,1
package,114,59
robopv,4,4
pilla,4,4
vergura,7,7
falcone,4,4
differ,10,9
quantization,2,2
dbscan,6,6
anomaly,19,19
nbayes,2,2
delamination,11,9
wavelet,2,2
dataclassification,1,1
fis,19,10
mamdanitype,1,1
datadetection,1,1
googlenet,1,1
eva,1,1
multilevel,2,2
otsu,2,2
equalization,1,1
burn,4,4
marks,9,9
difference,57,47
vary,15,15
interconnect,1,1
luminance,4,4
different,19,19
yolo,2,2
mobilenetssd,1,1
bayes,2,2
datasets,17,13
jeopardized,1,1
surroundings,7,7
std,3,2
nonuniform,2,2
nui,4,3
seed,3,3
crosscorrelation,3,3
cascade,3,3
statistics,16,16
severity,3,3
pca,2,2
linknet,1,1
fpn,1,1
vgg,1,1
mobilenet,1,1
patchwork,2,2
multilayer,2,2
perceptron,1,1
nadam,1,1
optimizer,5,5
imagenet,4,4
icnm,1,1
xgboosz,1,1
composites,3,3
distortion,7,7
conclusions,14,14
aspects,54,46
dunderdale,2,2
mosaic,5,4
nomenclature,1,1
investigation,39,31
replication,3,2
utter,1,1
computers,11,11
gigabytes,1,1
hours,18,15
exchange,22,17
community,7,7
advancements,15,12
clauses,1,1
resolutions,13,11
proves,2,2
advances,24,23
contemplate,1,1
collaborations,1,1
quick,11,11
differentiation,1,1
rfs,1,1
gigawatts,1,1
hectares,2,2
acknowledge,6,5
regulatory,4,3
aneel,3,1
engie,1,1
brasil,2,1
energia,3,3
guascorsiemens,1,1
ctg,1,1
jaja,1,1
ha,14,13
buerhop,7,7
csi,2,2
schlegel,1,1
niess,1,1
vodermayer,1,1
weimann,3,3
cj,8,8
pvplants,1,1
mater,8,8
specialists,14,13
austin,4,4
tx,17,12
scheuerpflug,5,5
auer,3,3
pvmodules,2,2
exhibition,13,13
herz,1,1
kontges,2,2
paggi,2,2
stein,1,1
berger,2,2
ranta,1,1
rh,7,7
electroluminescence,9,8
iea,2,2
pvps,2,2
lowcost,15,15
buerhoplutz,4,4
pickel,4,4
durschner,1,1
camus,3,3
airpvcheck,3,3
pvplantsdetection,1,1
cioaca,1,1
pop,1,1
boscoianu,2,1
niccolai,6,6
leva,16,16
milan,4,3
powertech,1,1
ja,14,14
eval,5,5
nm,2,2
chopra,1,1
vaezi,1,1
madukanya,2,2
youe,1,1
castanon,1,1
jm,31,26
amsterdam,9,9
netherlands,17,17
packard,1,1
ce,7,5
jahn,1,1
friesen,1,1
iseghem,1,1
systemsrequirements,1,1
maintenancepart,1,1
plantsoutdoor,1,1
geneva,1,1
vath,1,1
bundesverband,1,1
fur,2,2
angewandte,1,1
thermografie,1,1
nurnberg,1,1
haas,2,2
zehner,1,1
becker,1,1
optimierung,1,1
thermografischer,1,1
fehleranalyseverfahren,1,1
auf,1,1
multimwpvkraftwerke,1,1
pvsymposium,1,1
bad,2,1
staff,8,5
gonano,1,1
trans,108,85
ind,12,12
mussetta,6,6
quater,6,6
uas,102,63
environ,39,29
cond,1,1
monit,2,2
hernandezcallejo,3,3
duqueperez,2,2
instrumentation,8,7
eu,17,14
pvsec,9,7
elmokadem,1,1
av,5,4
bizzarri,1,1
nitti,1,1
malgaroli,1,1
conf,112,34
tsunami,6,6
bras,1,1
energ,1,1
politecnico,1,1
di,40,34
milano,1,1
photovolt,12,12
eeeic,4,4
rome,8,5
ir,17,17
specialist,3,2
pvsc,12,11
dc,21,17
settings,29,22
gonzalez,6,6
woods,4,4
mathworks,1,1
natick,1,1
platini,1,1
reges,1,1
moreira,1,1
fd,4,4
santos,8,8
ld,10,10
ripardo,1,1
alexandria,2,2
reboucas,1,1
filho,3,3
followers,2,2
lat,2,2
omahony,1,1
campbell,8,6
carvalho,7,6
hernandez,2,2
gv,1,1
riordan,1,1
walsh,1,1
adv,15,15
mayo,1,1
rc,8,5
leung,2,2
learningradiologys,1,1
frontier,4,4
clin,3,3
cfc,1,1
uso,3,3
descritores,1,1
morfologicos,1,1
cinematicos,1,1
na,2,2
identificacao,1,1
comportamentos,1,1
animais,1,1
laboratorio,1,1
galleria,1,1
voulodimos,1,1
doulamis,2,1
protopapadakis,1,1
neurosci,1,1
azad,1,1
chemmengath,1,1
raykar,1,1
deepsolareye,1,1
wacv,3,3
tahoe,2,2
nv,8,8
malof,2,2
bradbury,2,2
collins,3,3
newell,1,1
rg,3,3
res,57,51
prenafetaboldu,1,1
carneiro,1,1
silva,3,3
redes,1,1
neurais,1,1
convolucionais,1,1
com,3,3
tensorflow,6,4
teoria,1,1
pratica,1,1
escola,1,1
informatica,2,2
piaui,1,1
picos,1,1
serfa,2,2
juan,4,4
ro,3,3
basedon,1,1
icaiic,1,1
fukuoka,3,3
braid,1,1
jl,11,10
waikoloa,3,3
hi,10,8
wa,8,8
salem,1,1
icenco,1,1
giza,1,1
egypt,1,1
da,10,9
ch,4,4
moritz,1,1
gl,4,4
lazzaretti,1,1
ae,15,12
mulinari,1,1
bm,4,4
ancelmo,1,1
rodrigues,3,3
mp,18,12
oroski,1,1
goes,1,1
pes,1,1
conferencelatin,1,1
isgt,1,1
latin,3,3
gramado,2,2
ettaleby,1,1
boussetta,1,1
benslimane,1,1
elbow,4,3
silhouette,2,2
photoenergy,4,4
waqar,1,1
akram,2,2
jin,7,7
zhao,18,16
ahmad,5,5
outdoor,48,40
zech,1,1
ranalli,1,1
dotenco,1,1
dalsass,2,2
winkler,1,1
wurzner,2,1
gallwitz,1,1
placid,1,1
ny,19,19
prcv,3,2
lncs,1,1
scientific,5,5
hoffmann,5,5
im,2,2
amm,2,2
esmailifar,4,4
sm,9,9
asselineau,1,1
coventry,1,1
mahony,1,1
waypoint,9,9
farms,9,9
iecon,1,1
society,18,16
lisbon,1,1
portugal,4,4
liang,7,7
yan,13,13
farm,5,5
ccdc,3,3
hefei,2,2
cac,1,1
jinan,1,1
poudel,1,1
majid,1,1
il,3,3
jaramilloduque,1,1
canoquintero,1,1
jb,4,4
lovera,1,1
lou,2,2
symposium,28,28
dcabes,1,1
wuxi,3,3
cities,16,14
huerta,1,1
herraiz,1,1
pliego,1,1
garcia,11,11
marquez,5,5
fp,2,2
roi,2,2
imitate,1,1
ccf,1,1
tianjin,1,1
cui,4,4
qq,2,2
highresolution,17,14
regionline,1,1
isprs,5,5
photogramm,10,10
sens,53,38
camilo,1,1
aipr,1,1
tarabalka,1,1
endtoend,6,6
polygons,1,1
geosci,1,1
symp,18,11
golovko,1,1
bezobrazov,1,1
sachenko,1,1
novosad,1,1
infocommunications,1,1
pic,1,1
ukraine,1,1
mohammadi,1,1
moraguez,1,1
trujillo,1,1
weck,1,1
siddiqi,1,1
photovoltalc,1,1
igarss,1,1
geoscience,1,1
mayer,3,3
arlt,1,1
neumann,1,1
deepsolar,1,1
sest,1,1
istanbul,3,3
turkey,9,8
espinosa,1,1
lf,6,6
rgb,18,17
feng,8,8
leng,1,1
solarfinder,1,1
acmieee,12,8
ipsn,1,1
sydney,1,1
nsw,1,1
mvcv,1,1
olf,1,1
orlandi,1,1
hirata,1,1
albuquerque,1,1
ao,1,1
fv,1,1
guimaraes,1,1
gomes,1,1
rat,1,1
brazil,1,1
paynabar,1,1
pacella,1,1
rank,12,10
souffer,1,1
sghiouar,1,1
sebari,5,5
hajji,3,3
wits,1,1
lecture,5,5
notes,10,8
lakhrissi,1,1
mansouri,1,1
eds,29,27
munson,1,1
abousleman,1,1
gp,1,1
autom,33,33
recognit,1,1
xxv,1,1
guaman,1,1
cheein,1,1
fa,2,2
artifact,2,2
minimization,5,5
valentincoronado,1,1
moctezuma,1,1
flores,1,1
autumn,1,1
ropec,1,1
ixtapa,1,1
chan,6,5
yadav,2,1
gopalakrishna,1,1
tamizhmani,2,1
tools,26,26
spiethe,3,3
diego,5,5
muniraj,1,1
sathya,1,1
region,82,53
iop,3,3
ser,8,8
irsec,3,3
rabat,2,2
morocco,6,6
merchan,1,1
mediterranean,1,1
med,6,6
valletta,1,1
malta,1,1
rm,9,9
arias,2,2
mendezporras,1,1
iv,18,15
jornadas,1,1
costarricenses,1,1
investigacion,1,1
en,8,7
computacion,1,1
jocici,1,1
pedro,2,2
diaz,3,3
jjv,1,1
vlaminck,1,1
lefkaditis,1,1
vargas,2,2
sao,1,1
backgrounds,1,1
alfaromejia,1,1
loaizacorrea,1,1
francomejia,1,1
commun,114,50
inf,27,27
vento,3,3
ambient,7,7
humaniz,1,1
prog,7,7
guo,9,9
cheng,9,7
arenella,1,1
iciar,1,1
montreal,4,4
qc,7,6
youn,3,3
spat,3,3
laguela,4,4
fernandez,13,10
gonzalezaguilera,7,7
highdensity,2,2
rgbt,1,1
muhammad,2,2
prasad,3,2
nisi,2,2
mennella,2,2
gagliarde,2,2
cianca,1,1
marenchino,1,1
angrisano,2,2
bernardi,2,2
addabbo,2,2
wireless,228,135
summit,1,1
gws,1,1
cape,2,2
town,3,3
ullo,1,1
aerosp,27,27
mag,25,21
gr,5,4
pironti,1,1
vigilante,1,1
palmas,1,1
gran,1,1
canaria,1,1
nie,2,2
lett,30,26
chennai,1,1
zl,1,1
zeng,17,14
lam,1,1
usamentiaga,1,1
